CNTYVTD,ArringtonR_18G_U.S. Rep 19,LevarioD_18G_U.S. Rep 19
"3030014",322,254
"3030015",528,545
"3030016",269,311
"3030017",134,240
"3030018",250,340
"3030019",211,446
"3030020",32,429
"3030021",523,384
"3030022",670,337
"3030023",480,302
"3030024",404,403
"3030025",271,371
"3030026",332,505
"3030027",789,580
"3030028",947,479
"3030029",427,349
"3030030",938,469
"3030031",754,156
"3030033",1652,261
"3030034A",225,54
"3030034B",1,0
"3030035",318,66
"3030036",774,243
"3030038",303,259
"3030039",999,165
"3030040",38,276
"3030041",1074,215
"3030043",256,30
"3030044",564,145
"3030045",181,45
"3030046",1524,195
"3030047",924,427
"3030049",241,373
"3030050",262,408
"3030051",38,18
"3030052",1432,494
"3030053",791,493
"3030054",1759,385
"3030056",182,62
"3030057",870,387
"3030058",606,208
"3030059",784,482
"3030060",620,169
"3030062",1020,350
"3030063",34,19
"3030064",0,0
"3030065",305,111
"3030066",1397,293
"3030067",725,371
"3030069",4,2
"3030072",948,495
"3030075",616,133
"3030076",673,283
"3030078",1488,339
"3030092",130,42
"3030096",28,23
"3030102",289,24
"3030104",530,103
"3030109",1716,337
"3030110",1807,375
"3030111",680,132
"3030112",155,13
"3030113",592,507
"3030114",131,199
"3030117",29,0
"3030118",615,285
"3030119",785,562
"3030120",1418,244
"3030121",1376,233
"3030122",491,196
"3030123",865,282
"3030124",978,256
"3030125",1086,285
"3030126",636,240
"3030127",1178,373
"3030128",1029,221
"3030129",1411,455
"3030131",0,0
"3030132",5,1
"3030135",118,22
"3030138",116,21
"3030140",1814,414
"3030141",970,441
"3030142A",34,23
"3030142B",0,0
"3030148",0,0
"3030151",483,101
"3030152",413,365
"3030153",87,408
"3030154",1394,379
"3030155",1279,134
"3030159",0,0
"3030160",1,0
"3030175",51,9
"3030178",167,15
"3030181",0,0
"3050001A",100,29
"3050001B",12,1
"3050002",135,42
"3050003",187,54
"3050004",314,34
"3050005",23,2
"3050006",150,39
"3050007",28,1
"3050008",14,2
"3050009",201,19
"3050010",2,0
"3050011",49,3
"3050012",49,17
"3050013",71,12
"3050014",58,40
"3530001",340,112
"3530002",514,75
"3530003",534,170
"3530004",360,230
"3530005",84,18
"3530006",454,77
"3530007",166,8
"3530008",102,10
"3530009",665,107
"3690101",521,102
"3690201",155,108
"3690202",122,6
"3690203",45,0
"3690301",436,59
"3690302",130,4
"3690303",31,4
"3690401",158,11
"3690402",78,57
"4150005",59,5
"4150006",138,16
"4150007",978,135
"4150008",368,49
"4150009",257,16
"4150010",648,66
"4150011",72,5
"4150012",511,114
"4150013",236,32
"4150014",73,7
"4150015",420,133
"4170101",283,30
"4170202",340,15
"4170303",137,7
"4170307",159,11
"4170404",23,0
"4170405",109,9
"4170406A",143,14
"4170406B",2,0
"4292-19A",41,2
"4292-19B",96,7
"4292-19C",0,0
"4293-19",237,18
"4294-19",451,34
"4330001",136,15
"4330002",131,28
"4330003",131,18
"4330004",113,31
"4410101",1332,555
"4410102",934,346
"4410103",941,387
"4410104",1389,278
"4410105",967,477
"4410106",248,142
"4410107",231,49
"4410108",689,73
"4410109",139,12
"4410110",51,4
"4410201",344,254
"4410202",600,511
"4410203",717,374
"4410204",723,202
"4410205",721,509
"4410206",1061,183
"4410207",142,23
"4410301",879,343
"4410302",1077,260
"4410303",1061,85
"4410304",1098,372
"4410305",1498,295
"4410306",2453,409
"4410307",2866,466
"4410308",897,120
"4410401",340,214
"4410402",1109,421
"4410403",799,386
"4410404",696,411
"4410405",572,247
"4410406",1466,381
"4410407",543,133
"4410408",2149,229
"4410409",486,48
"4450101",216,33
"4450102",728,103
"4450201",220,82
"4450202",204,54
"4450301",325,160
"4450401",420,116
"4450402",134,4
"4470001",177,9
"4470002",150,18
"4473003",137,22
"4474005",50,11
"4474006",109,7
"5010101",426,61
"5010202",434,69
"5010303",226,33
"5010305",111,42
"5010404",253,45
"5010406",142,55
"5030005",1444,223
"5030006",128,7
"5030007",96,8
"5030010",219,24
"5030016",155,3
"5030020",109,16
"5030022",1779,178
"5030023",918,150
"5030024",729,158
