CNTYVTD,PateR_18G_U.S. Rep 18,Jackson LeeD_18G_U.S. Rep 18,SpencerL_18G_U.S. Rep 18,DuncanW_18G_U.S. Rep 18
"2010259",24,1151,7,18
"2010264",699,828,46,27
"2010270",1054,1122,71,59
"2010283A",354,2367,43,42
"2010283B",2,24,0,0
"2010322",133,306,15,8
"2010324",1020,688,84,67
"2010325",169,705,11,14
"2010327",23,687,8,12
"2010334",56,245,3,5
"2010342",74,350,1,4
"2010344",27,437,6,2
"2010358",95,788,5,16
"2010364",623,826,36,24
"2010365",92,760,9,20
"2010366",248,1034,16,15
"2010367",126,439,11,12
"2010369",43,96,7,6
"2010371",6,206,3,3
"2010373",3,54,0,3
"2010374",72,218,4,2
"2010383",291,704,13,16
"2010389",68,639,21,13
"2010390",93,787,16,15
"2010396",32,982,4,9
"2010399",470,929,18,17
"2010401",51,936,9,10
"2010406",3,232,3,4
"2010410",66,327,3,6
"2010412",6,161,2,6
"2010448",1069,915,90,79
"2010449",3,65,1,0
"2010450",322,915,28,29
"2010454",23,993,7,7
"2010455",28,579,4,8
"2010457",0,0,0,0
"2010465",739,1132,37,37
"2010466",1098,1245,27,38
"2010467",126,475,14,8
"2010468",395,1397,22,25
"2010494",157,1121,17,15
"2010497",36,925,11,11
"2010498",399,825,23,17
"2010501",499,980,82,34
"2010505",846,1278,96,64
"2010520",243,1602,22,19
"2010528",1,26,1,1
"2010538",11,416,0,6
"2010544",7,97,1,5
"2010549",132,1088,8,19
"2010550",488,788,26,16
"2010562",31,239,1,3
"2010573",12,584,4,5
"2010574",18,116,3,2
"2010576",63,1153,12,19
"2010578",759,541,64,22
"2010580",14,365,1,2
"2010581",10,452,2,2
"2010582",35,552,5,9
"2010583",12,450,4,3
"2010584",28,351,7,6
"2010585",48,765,7,10
"2010587",384,1034,17,19
"2010592",134,533,7,6
"2010594",336,1013,27,17
"2010595",92,622,8,3
"2010596",607,866,24,34
"2010606",4,328,4,6
"2010611",37,928,6,11
"2010613",172,945,13,16
"2010614",597,1563,25,27
"2010615",577,642,19,16
"2010629",22,162,0,1
"2010656",48,1139,8,6
"2010657",244,531,12,7
"2010660",143,1551,13,23
"2010663",708,793,78,43
"2010675",0,1,0,0
"2010678",94,1106,10,19
"2010680",35,70,4,7
"2010681",19,37,4,2
"2010697",347,1178,18,20
"2010698",157,1301,18,28
"2010717",116,897,14,11
"2010723",175,795,11,20
"2010729",128,125,1,5
"2010736",0,12,0,0
"2010738",87,393,4,3
"2010747",758,1325,49,39
"2010753",98,161,8,2
"2010756",239,570,17,17
"2010757",295,1897,25,36
"2010769",10,64,1,1
"2010783",17,265,3,6
"2010784",10,420,0,1
"2010794A",52,591,9,5
"2010794B",0,0,0,0
"2010797",0,0,0,0
"2010808",48,190,13,9
"2010816",5,16,0,0
"2010818",46,207,3,3
"2010822",27,579,2,10
"2010825",4,6,0,0
"2010832",27,111,2,2
"2010833",1,5,0,0
"2010836",9,126,0,1
"2010838",0,0,0,0
"2010840",279,603,15,14
"2010846",6,73,1,1
"2010848",273,774,25,20
"2010852",0,0,0,0
"2010854",7,54,2,1
"2010855",4,1,0,0
"2010856",0,0,0,0
"2010857",0,0,0,0
"2010858",3,136,1,0
"2010859",90,352,2,12
"2010860",0,0,0,0
"2010861",132,765,8,8
"2010864",208,787,12,17
"2010865",0,8,0,0
"2010866",0,0,0,0
"2010867",0,0,0,0
"2010868",235,741,19,14
"2010870",0,0,0,0
"2010873",85,276,4,1
"2010883",332,2163,22,42
"2010884",21,144,0,1
"2010886",209,273,20,13
"2010887",107,191,10,5
"2010889",34,104,11,3
"2010890",243,519,27,17
"2010892",141,459,31,17
"2010894",117,903,10,17
"2010900",1,6,0,0
"2010905",148,262,7,5
"2010912",448,316,15,14
"2010914",6,27,0,1
"2010917",3,21,0,0
"2010918",1,1,0,0
"2010924",0,0,0,0
"2010927",567,582,63,24
"2010929",0,0,0,0
"2010937",0,0,0,0
"2010940",0,9,0,1
"2010957",28,261,6,6
"2010958",80,441,8,5
"2010959",0,0,0,0
"2010961",130,794,12,9
"2010962",4,40,1,1
"2010966",111,358,5,7
"2010975",53,59,5,3
"2010977",79,148,4,6
"2010981",0,15,0,0
"2010987",38,478,6,6
"2010989",0,0,0,0
"2010990",6,5,0,0
"2010993",0,0,0,0
"2010997",61,505,7,12
"2010999",0,0,0,0
"2011004",179,241,24,6
"2011005",0,0,0,0
"2011007",172,725,13,6
"2011011",8,7,0,1
"2011012",185,564,7,6
